2018.02.14.19.41.12
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 4,3,363,18.29 | Score: 0.9565718;
Key: 19,3,279,19.55 | Score: 0.81539315;
Key: 10,3,411,4.61 | Score: 0.93359286;
Key: 2,3,207,6.37 | Score: 0.9507022;
Key: 19,3,205,1.86 | Score: 0.86332875;
Key: 18,3,186,17.52 | Score: 0.922699;
Key: 11,3,452,9.42 | Score: 0.92538357;
Key: 16,3,68,28.95 | Score: 0.9301093;
Key: 1,3,338,20.67 | Score: 0.9504512;
Key: 13,3,435,22.26 | Score: 0.91102177;
Key: 18,3,163,9.0 | Score: 0.9190057;
Key: 10,3,431,8.81 | Score: 0.9334671;
Key: 8,3,217,24.55 | Score: 0.9513796;
Key: 5,3,92,26.06 | Score: 0.9583957;
Key: 16,3,119,21.93 | Score: 0.92324;
Key: 12,3,450,23.11 | Score: 0.92056125;
Key: 14,3,160,29.89 | Score: 0.93204784;
Key: 14,3,120,7.52 | Score: 0.9212702;
Key: 21,3,275,11.56 | Score: 0.7665964;
Key: 13,3,11,27.09 | Score: 0.96241146;
Key: 2,3,234,2.72 | Score: 0.9497443;
Key: 5,3,265,2.57 | Score: 0.95312935;
Key: 6,3,32,14.32 | Score: 0.9463725;
Key: 19,3,416,8.1 | Score: 0.8097183;
Key: 11,3,257,6.03 | Score: 0.93088156;
Key: 20,3,102,25.03 | Score: 0.9214115;
Key: 2,3,363,22.47 | Score: 0.9555549;
Key: 7,3,481,9.6 | Score: 0.95146924;
Key: 8,3,92,28.49 | Score: 0.9482381;
Key: 15,3,426,24.4 | Score: 0.8828752;
Key: 1,3,312,28.32 | Score: 0.9460945;
Key: 18,3,67,13.5 | Score: 0.92458147;
Key: 3,3,85,21.38 | Score: 0.95723367;
Key: 17,3,387,17.89 | Score: 0.8538889;
Key: 3,3,115,6.09 | Score: 0.95059246;
Key: 19,3,146,24.36 | Score: 0.92020065;
Key: 7,3,151,10.58 | Score: 0.9483525;
Key: 1,3,479,18.75 | Score: 0.9508613;
Key: 14,3,406,20.98 | Score: 0.9002307;
Key: 2,3,359,10.36 | Score: 0.952225;
Key: 21,3,405,12.69 | Score: 0.6021494;
Key: 13,3,233,28.62 | Score: 0.9348793;
Key: 1,3,199,24.31 | Score: 0.9487898;
Key: 11,3,129,1.05 | Score: 0.9289517;
Key: 7,3,364,13.87 | Score: 0.95224243;
Key: 15,3,207,20.31 | Score: 0.93136233;
Key: 7,3,457,2.59 | Score: 0.95000905;
Key: 3,3,223,11.26 | Score: 0.95501417;
Key: 2,3,123,15.73 | Score: 0.95489854;
Key: 11,3,32,19.2 | Score: 0.94290704;
0,0.92004967,0.96241146,13,3,11,27.09
Key: 13,3,11,27.09 | Score: 0.96241146;
Key: 5,3,92,26.06 | Score: 0.9583957;
Key: 3,3,85,21.38 | Score: 0.95723367;
Key: 4,3,363,18.29 | Score: 0.9565718;
Key: 2,3,363,22.47 | Score: 0.9555549;
