2018.02.11.08.13.51
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 19,3,86,2.34 | Score: 0.9149466;
Key: 19,3,325,7.39 | Score: 0.8244266;
Key: 14,3,426,3.52 | Score: 0.8931158;
Key: 18,3,194,13.48 | Score: 0.9224461;
Key: 2,3,54,19.9 | Score: 0.9556656;
Key: 16,3,482,25.8 | Score: 0.86772394;
Key: 11,3,355,25.61 | Score: 0.9340453;
Key: 7,3,14,8.82 | Score: 0.94764346;
Key: 3,3,237,26.38 | Score: 0.9569254;
Key: 10,3,194,5.85 | Score: 0.94117385;
Key: 7,3,424,15.57 | Score: 0.9513971;
Key: 14,3,38,15.81 | Score: 0.9357255;
Key: 7,3,346,14.76 | Score: 0.95257694;
Key: 7,3,57,17.21 | Score: 0.9432146;
Key: 19,3,133,24.17 | Score: 0.9197664;
Key: 14,3,142,6.59 | Score: 0.92240024;
Key: 18,3,491,12.69 | Score: 0.8393119;
Key: 8,3,313,15.49 | Score: 0.95003635;
Key: 12,3,165,2.22 | Score: 0.92964506;
Key: 13,3,190,4.12 | Score: 0.932117;
Key: 16,3,318,20.4 | Score: 0.878814;
Key: 10,3,281,27.6 | Score: 0.94359225;
Key: 19,3,177,21.12 | Score: 0.9215577;
Key: 4,3,182,13.14 | Score: 0.9552743;
Key: 20,3,231,20.96 | Score: 0.8081672;
Key: 8,3,319,22.7 | Score: 0.9500931;
Key: 3,3,313,4.9 | Score: 0.9525865;
Key: 12,3,121,30.0 | Score: 0.9343796;
Key: 11,3,82,22.87 | Score: 0.9334826;
Key: 11,3,142,3.19 | Score: 0.9296791;
Key: 8,3,243,24.34 | Score: 0.95125824;
Key: 18,3,313,16.67 | Score: 0.8319276;
Key: 19,3,373,14.97 | Score: 0.82226425;
Key: 21,3,39,16.27 | Score: 0.9323323;
Key: 18,3,432,7.68 | Score: 0.8329685;
Key: 14,3,272,21.87 | Score: 0.91332835;
Key: 10,3,279,10.86 | Score: 0.9397171;
Key: 9,3,220,25.99 | Score: 0.9490862;
Key: 19,3,433,20.02 | Score: 0.6247902;
Key: 5,3,66,1.0 | Score: 0.9375935;
Key: 21,3,346,19.54 | Score: 0.5960541;
Key: 10,3,63,27.8 | Score: 0.93997926;
Key: 7,3,11,9.22 | Score: 0.9495583;
Key: 12,3,23,25.43 | Score: 0.9514189;
Key: 10,3,352,17.87 | Score: 0.9397233;
Key: 10,3,222,12.0 | Score: 0.9431197;
Key: 4,3,117,11.3 | Score: 0.9535293;
Key: 15,3,236,12.28 | Score: 0.90875953;
Key: 9,3,428,7.99 | Score: 0.94160265;
Key: 17,3,401,27.73 | Score: 0.8529873;
Key: 14,3,133,17.22 | Score: 0.9253197;
Key: 21,3,217,27.74 | Score: 0.75387454;
Key: 20,3,38,18.04 | Score: 0.93389744;
Key: 9,3,29,26.2 | Score: 0.95076346;
Key: 13,3,310,15.79 | Score: 0.91589576;
Key: 7,3,220,19.6 | Score: 0.95356447;
Key: 11,3,33,27.54 | Score: 0.94673777;
Key: 6,3,314,10.44 | Score: 0.954029;
Key: 19,3,326,9.09 | Score: 0.8219657;
Key: 18,3,452,17.5 | Score: 0.8413779;
Key: 2,3,115,9.35 | Score: 0.9516392;
Key: 6,3,13,10.8 | Score: 0.950772;
Key: 13,3,388,7.48 | Score: 0.90394896;
Key: 2,3,174,19.09 | Score: 0.95576096;
Key: 12,3,49,26.28 | Score: 0.9380068;
Key: 13,3,286,21.83 | Score: 0.9234173;
Key: 11,3,446,18.25 | Score: 0.9299083;
Key: 10,3,322,6.07 | Score: 0.9315439;
Key: 11,3,281,8.43 | Score: 0.9305168;
Key: 21,3,14,14.38 | Score: 0.9502349;
Key: 2,3,212,20.48 | Score: 0.9558756;
Key: 11,3,45,18.91 | Score: 0.9372069;
Key: 15,3,30,5.11 | Score: 0.93261456;
Key: 5,3,421,28.04 | Score: 0.95524883;
Key: 8,3,406,12.52 | Score: 0.94880456;
Key: 18,3,196,23.58 | Score: 0.92444485;
Key: 2,3,228,29.75 | Score: 0.9531162;
Key: 15,3,315,8.28 | Score: 0.8843661;
Key: 15,3,393,23.23 | Score: 0.88702685;
Key: 1,3,98,6.71 | Score: 0.9479827;
Key: 5,3,402,16.22 | Score: 0.9550407;
Key: 19,3,174,16.77 | Score: 0.92061;
Key: 2,3,269,14.11 | Score: 0.95452064;
Key: 21,3,278,17.88 | Score: 0.77746135;
Key: 14,3,10,5.5 | Score: 0.9450209;
Key: 7,3,146,29.91 | Score: 0.95616454;
Key: 5,3,251,12.49 | Score: 0.9547853;
Key: 7,3,326,1.07 | Score: 0.946738;
Key: 9,3,300,22.51 | Score: 0.94703704;
Key: 7,3,62,26.54 | Score: 0.950602;
Key: 14,3,43,11.85 | Score: 0.93167835;
Key: 17,3,159,18.51 | Score: 0.92242306;
Key: 21,3,493,8.71 | Score: 0.7986414;
Key: 11,3,141,29.23 | Score: 0.9379802;
Key: 10,3,26,22.76 | Score: 0.94947296;
Key: 18,3,187,27.27 | Score: 0.9240196;
Key: 5,3,481,9.57 | Score: 0.95419997;
Key: 19,3,409,2.66 | Score: 0.82348794;
Key: 14,3,157,27.95 | Score: 0.93124014;
Key: 9,3,312,29.51 | Score: 0.94655687;
0,0.91471463,0.9569254,3,3,237,26.38
Key: 3,3,237,26.38 | Score: 0.9569254;
Key: 7,3,146,29.91 | Score: 0.95616454;
Key: 2,3,212,20.48 | Score: 0.9558756;
Key: 2,3,174,19.09 | Score: 0.95576096;
Key: 2,3,52,19.9 | Score: 0.9556618;
Key: 4,3,182,13.14 | Score: 0.9552743;
Key: 5,3,421,28.04 | Score: 0.95524883;
Key: 5,3,402,16.22 | Score: 0.9550407;
Key: 5,3,249,12.49 | Score: 0.9547971;
Key: 2,3,269,14.11 | Score: 0.95452064;
Key: 5,3,481,9.57 | Score: 0.95419997;
Key: 6,3,314,10.44 | Score: 0.954029;
Key: 7,3,220,19.6 | Score: 0.95356447;
Key: 4,3,117,11.3 | Score: 0.9535293;
Key: 2,3,228,29.75 | Score: 0.9531162;
Key: 3,3,313,4.9 | Score: 0.9525865;
Key: 7,3,346,14.76 | Score: 0.95257694;
Key: 2,3,115,9.35 | Score: 0.9516392;
Key: 12,3,23,25.43 | Score: 0.9514189;
Key: 7,3,424,15.57 | Score: 0.9513971;
Key: 8,3,243,24.34 | Score: 0.95125824;
Key: 6,3,13,10.8 | Score: 0.950772;
Key: 9,3,29,26.2 | Score: 0.95076346;
Key: 7,3,62,26.54 | Score: 0.950602;
Key: 21,3,14,14.38 | Score: 0.9502349;
Key: 8,3,319,22.7 | Score: 0.9500931;
Key: 8,3,313,15.49 | Score: 0.95003635;
Key: 7,3,11,9.22 | Score: 0.9495583;
Key: 10,3,26,22.76 | Score: 0.94947296;
Key: 9,3,220,25.99 | Score: 0.9490862;
Key: 8,3,406,12.52 | Score: 0.94880456;
Key: 1,3,98,6.71 | Score: 0.9479827;
Key: 7,3,14,8.82 | Score: 0.94764346;
Key: 9,3,300,22.51 | Score: 0.94703704;
Key: 7,3,324,1.07 | Score: 0.946762;
Key: 11,3,33,27.54 | Score: 0.94673777;
Key: 9,3,312,29.51 | Score: 0.94655687;
Key: 14,3,10,5.5 | Score: 0.9450209;
Key: 10,3,281,27.6 | Score: 0.94359225;
Key: 7,3,57,17.21 | Score: 0.9432146;
Key: 10,3,222,12.0 | Score: 0.9431197;
Key: 9,3,428,7.99 | Score: 0.94160265;
Key: 10,3,194,5.85 | Score: 0.94117385;
Key: 10,3,63,27.8 | Score: 0.93997926;
Key: 10,3,352,17.87 | Score: 0.9397233;
Key: 10,3,279,10.86 | Score: 0.9397171;
Key: 12,3,49,26.28 | Score: 0.9380068;
Key: 11,3,141,29.23 | Score: 0.9379802;
Key: 5,3,66,1.0 | Score: 0.9375935;
Key: 11,3,45,18.91 | Score: 0.9372069;
Key: 10,3,31,26.87 | Score: 0.9486497;
Key: 3,3,212,7.12 | Score: 0.95232266;
Key: 7,3,378,13.64 | Score: 0.95210224;
Key: 2,3,145,14.23 | Score: 0.9545245;
Key: 6,3,165,9.63 | Score: 0.9521287;
Key: 9,3,170,27.85 | Score: 0.9490474;
Key: 7,3,267,18.19 | Score: 0.95321196;
Key: 2,3,84,14.64 | Score: 0.95447296;
Key: 6,3,372,14.62 | Score: 0.9537969;
Key: 7,3,60,16.09 | Score: 0.9420467;
Key: 4,3,358,10.57 | Score: 0.95466536;
Key: 8,3,113,17.6 | Score: 0.9418497;
Key: 7,3,21,18.5 | Score: 0.9529014;
Key: 8,3,359,14.01 | Score: 0.94949627;
Key: 4,3,34,14.38 | Score: 0.9517667;
Key: 3,3,250,11.48 | Score: 0.9550064;
Key: 8,3,278,19.92 | Score: 0.9506838;
Key: 10,3,223,20.5 | Score: 0.94533175;
Key: 7,3,163,13.14 | Score: 0.9502414;
Key: 6,3,131,10.86 | Score: 0.9492844;
Key: 6,3,12,10.01 | Score: 0.9502285;
Key: 4,3,163,7.85 | Score: 0.95251966;
Key: 6,3,414,20.31 | Score: 0.95387626;
Key: 6,3,100,20.92 | Score: 0.9539635;
Key: 3,3,231,16.49 | Score: 0.956332;
Key: 3,3,297,23.56 | Score: 0.9566788;
Key: 7,3,190,24.62 | Score: 0.95478636;
Key: 6,3,40,21.33 | Score: 0.9514206;
Key: 4,3,367,16.49 | Score: 0.95630336;
Key: 9,3,344,20.04 | Score: 0.9459195;
Key: 8,3,141,26.27 | Score: 0.95058256;
Key: 11,3,142,14.24 | Score: 0.9338577;
Key: 7,3,234,19.54 | Score: 0.9532881;
