2018.02.14.09.40.48
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 16,3,187,9.6 | Score: 0.92570883;
Key: 15,3,255,17.22 | Score: 0.8968536;
Key: 14,3,492,18.94 | Score: 0.89262605;
Key: 4,3,461,6.95 | Score: 0.9539125;
Key: 4,3,170,16.63 | Score: 0.95685005;
Key: 13,3,394,24.1 | Score: 0.91447955;
Key: 7,3,274,2.14 | Score: 0.94784766;
Key: 14,3,438,11.1 | Score: 0.89033604;
Key: 12,3,250,29.17 | Score: 0.9369984;
Key: 11,3,404,19.25 | Score: 0.930348;
Key: 8,3,410,4.75 | Score: 0.9466521;
Key: 1,3,368,24.94 | Score: 0.94859695;
Key: 18,3,435,19.2 | Score: 0.8387456;
Key: 1,3,63,14.84 | Score: 0.950334;
Key: 10,3,491,27.05 | Score: 0.9355078;
Key: 20,3,400,5.78 | Score: 0.81540555;
Key: 10,3,365,10.35 | Score: 0.9373215;
Key: 10,3,98,1.04 | Score: 0.9261646;
Key: 2,3,419,7.69 | Score: 0.9513281;
Key: 16,3,401,4.21 | Score: 0.8763605;
Key: 2,3,64,23.38 | Score: 0.9553583;
Key: 2,3,416,27.46 | Score: 0.95381075;
Key: 13,3,86,28.24 | Score: 0.93150026;
Key: 15,3,413,7.55 | Score: 0.88067675;
Key: 21,3,307,25.94 | Score: 0.77128744;
0,0.91460043,0.95685005,4,3,170,16.63
Key: 4,3,170,16.63 | Score: 0.95685005;
Key: 2,3,64,23.38 | Score: 0.9553583;
Key: 4,3,461,6.95 | Score: 0.9539125;
Key: 2,3,416,27.46 | Score: 0.95381075;
Key: 2,3,419,7.69 | Score: 0.9513281;
Key: 1,3,63,14.84 | Score: 0.950334;
Key: 1,3,368,24.94 | Score: 0.94859695;
Key: 7,3,274,2.14 | Score: 0.94784766;
Key: 8,3,410,4.75 | Score: 0.9466521;
Key: 10,3,365,10.35 | Score: 0.9373215;
Key: 12,3,250,29.17 | Score: 0.9369984;
Key: 10,3,491,27.05 | Score: 0.9355078;
Key: 13,3,86,28.24 | Score: 0.93150026;
Key: 4,3,266,7.98 | Score: 0.95435214;
Key: 4,3,385,5.6 | Score: 0.9541635;
Key: 3,3,217,22.48 | Score: 0.9569928;
Key: 5,3,429,13.07 | Score: 0.95441794;
Key: 4,3,398,19.08 | Score: 0.9562256;
Key: 3,3,235,13.98 | Score: 0.95558447;
Key: 5,3,199,13.96 | Score: 0.9553549;
Key: 7,3,412,7.34 | Score: 0.9514151;
Key: 1,3,165,21.06 | Score: 0.9503207;
Key: 7,3,367,6.47 | Score: 0.9516235;
Key: 6,3,279,9.99 | Score: 0.9539537;
Key: 4,3,311,8.85 | Score: 0.95401365;
1,0.95017743,0.9569928,3,3,217,22.48
Key: 3,3,217,22.48 | Score: 0.9569928;
Key: 4,3,170,16.63 | Score: 0.95685005;
Key: 4,3,398,19.08 | Score: 0.9562256;
Key: 3,3,235,13.98 | Score: 0.95558447;
Key: 2,3,64,23.38 | Score: 0.9553583;
Key: 5,3,199,13.96 | Score: 0.9553549;
Key: 5,3,429,13.07 | Score: 0.95441794;
Key: 4,3,266,7.98 | Score: 0.95435214;
Key: 4,3,385,5.6 | Score: 0.9541635;
Key: 4,3,311,8.85 | Score: 0.95401365;
Key: 6,3,279,9.99 | Score: 0.9539537;
Key: 4,3,461,6.95 | Score: 0.9539125;
Key: 2,3,418,27.46 | Score: 0.95381075;
Key: 3,3,254,15.11 | Score: 0.9559794;
Key: 4,3,350,10.89 | Score: 0.95474505;
Key: 4,3,265,13.11 | Score: 0.95541626;
Key: 4,3,224,12.87 | Score: 0.95552903;
Key: 3,3,243,16.82 | Score: 0.9563859;
Key: 4,3,379,13.67 | Score: 0.9553404;
Key: 4,3,193,17.69 | Score: 0.95725465;
Key: 3,3,150,20.83 | Score: 0.95723367;
Key: 4,3,249,11.16 | Score: 0.9549455;
