2018.03.11.20.07.47
generation,average_fitness,best_fitness,best_w,best_w_n,best_s_r,best_lambda
Key: 5,3,491,19.51 | Score: 0.92716247;
Key: 1,3,28,11.12 | Score: 0.91883796;
Key: 21,3,362,1.68 | Score: 0.92843676;
Key: 5,3,117,11.89 | Score: 0.92991215;
Key: 13,3,73,11.05 | Score: 0.9266027;
Key: 15,3,292,8.18 | Score: 0.9499824;
Key: 1,3,440,12.42 | Score: 0.9194248;
Key: 10,3,335,16.29 | Score: 0.92123723;
Key: 10,3,221,23.94 | Score: 0.9181878;
Key: 18,3,284,16.15 | Score: 0.9496335;
Key: 6,3,7,16.81 | Score: 0.9147317;
Key: 5,3,443,25.43 | Score: 0.92830855;
Key: 17,3,480,22.51 | Score: 0.94335973;
Key: 19,3,335,25.48 | Score: 0.94662297;
Key: 6,3,169,16.56 | Score: 0.92690796;
0,0.92995656,0.9499824,15,3,292,8.18
Key: 15,3,292,8.18 | Score: 0.9499824;
Key: 18,3,284,16.15 | Score: 0.9496335;
Key: 19,3,335,25.48 | Score: 0.94662297;
Key: 17,3,480,22.51 | Score: 0.94335973;
Key: 5,3,117,11.89 | Score: 0.92991215;
Key: 21,3,362,1.68 | Score: 0.92843676;
Key: 5,3,443,25.43 | Score: 0.92830855;
Key: 5,3,491,19.51 | Score: 0.92716247;
Key: 17,3,313,16.81 | Score: 0.94667184;
Key: 12,3,201,14.04 | Score: 0.9255856;
Key: 18,3,407,24.0 | Score: 0.9448401;
Key: 18,3,407,24.0 | Score: 0.9448401;
Key: 16,3,386,15.32 | Score: 0.94419175;
Key: 13,3,239,6.79 | Score: 0.9436102;
Key: 20,3,348,13.7 | Score: 0.95196486;
1,0.94034153,0.95196486,20,3,348,13.7
Key: 20,3,348,13.7 | Score: 0.95196486;
Key: 15,3,292,8.18 | Score: 0.9499824;
Key: 18,3,284,16.15 | Score: 0.9496335;
Key: 17,3,313,16.81 | Score: 0.94667184;
Key: 19,3,335,25.48 | Score: 0.94662297;
Key: 18,3,407,24.0 | Score: 0.9448401;
Key: 18,3,407,24.0 | Score: 0.9448401;
Key: 16,3,386,15.32 | Score: 0.94419175;
Key: 18,3,345,20.07 | Score: 0.948734;
Key: 19,3,371,24.74 | Score: 0.94675857;
Key: 16,3,349,16.07 | Score: 0.94251347;
Key: 18,3,345,20.07 | Score: 0.948734;
Key: 18,3,298,16.48 | Score: 0.9495033;
Key: 18,3,345,20.07 | Score: 0.948734;
Key: 19,3,371,24.74 | Score: 0.94675857;
2,0.9473656,0.95196486,20,3,348,13.7
Key: 20,3,348,13.7 | Score: 0.95196486;
Key: 15,3,292,8.18 | Score: 0.9499824;
Key: 18,3,284,16.15 | Score: 0.9496335;
Key: 18,3,298,16.48 | Score: 0.9495033;
Key: 18,3,345,20.07 | Score: 0.948734;
Key: 18,3,345,20.07 | Score: 0.948734;
Key: 18,3,345,20.07 | Score: 0.948734;
Key: 19,3,371,24.74 | Score: 0.94675857;
Key: 19,3,347,16.88 | Score: 0.95175797;
Key: 16,3,288,12.16 | Score: 0.9457774;
Key: 18,3,345,20.07 | Score: 0.948734;
Key: 19,3,347,16.88 | Score: 0.95175797;
Key: 16,3,295,12.33 | Score: 0.94635415;
Key: 19,3,316,14.92 | Score: 0.9532682;
Key: 18,3,345,20.07 | Score: 0.948734;
3,0.9493619,0.9532682,19,3,316,14.92
Key: 19,3,316,14.92 | Score: 0.9532682;
Key: 20,3,348,13.7 | Score: 0.95196486;
Key: 19,3,347,16.88 | Score: 0.95175797;
Key: 19,3,347,16.88 | Score: 0.95175797;
Key: 15,3,292,8.18 | Score: 0.9499824;
Key: 18,3,284,16.15 | Score: 0.9496335;
Key: 18,3,298,16.48 | Score: 0.9495033;
Key: 18,3,345,20.07 | Score: 0.948734;
Key: 17,3,320,12.53 | Score: 0.9509866;
Key: 17,3,304,11.56 | Score: 0.9520536;
Key: 20,3,348,15.29 | Score: 0.951529;
Key: 18,3,320,10.94 | Score: 0.95453936;
Key: 18,3,320,10.94 | Score: 0.95453936;
Key: 19,3,316,16.52 | Score: 0.9520153;
Key: 19,3,331,15.9 | Score: 0.9518597;
4,0.9516084,0.95453936,18,3,320,10.94
Key: 18,3,320,10.94 | Score: 0.95453936;
Key: 18,3,320,10.94 | Score: 0.95453936;
Key: 19,3,318,14.92 | Score: 0.9532043;
Key: 17,3,304,11.56 | Score: 0.9520536;
Key: 19,3,316,16.52 | Score: 0.9520153;
Key: 20,3,350,13.7 | Score: 0.9519063;
Key: 19,3,331,15.9 | Score: 0.9518597;
Key: 19,3,347,16.88 | Score: 0.95175797;
Key: 18,3,318,13.73 | Score: 0.9521643;
Key: 19,3,334,12.32 | Score: 0.95439327;
Key: 18,3,316,13.73 | Score: 0.9522078;
Key: 18,3,310,13.24 | Score: 0.9524839;
Key: 19,3,335,12.32 | Score: 0.95437133;
Key: 19,3,334,12.32 | Score: 0.95439327;
Key: 19,3,334,12.32 | Score: 0.95439327;
5,0.9530856,0.95453936,18,3,320,10.94
Key: 18,3,320,10.94 | Score: 0.95453936;
Key: 18,3,320,10.94 | Score: 0.95453936;
Key: 19,3,334,12.32 | Score: 0.95439327;
Key: 19,3,334,12.32 | Score: 0.95439327;
Key: 19,3,334,12.32 | Score: 0.95439327;
Key: 19,3,335,12.32 | Score: 0.95437133;
Key: 19,3,318,14.92 | Score: 0.9532043;
Key: 18,3,310,13.24 | Score: 0.9524839;
Key: 18,3,327,11.63 | Score: 0.95351756;
Key: 19,3,335,12.32 | Score: 0.95437133;
Key: 18,3,327,11.63 | Score: 0.95351756;
Key: 18,3,327,11.63 | Score: 0.95351756;
Key: 19,3,335,12.32 | Score: 0.95437133;
Key: 18,3,327,11.63 | Score: 0.95351756;
Key: 18,3,327,11.63 | Score: 0.95351756;
6,0.95391005,0.95453936,18,3,320,10.94
Key: 18,3,320,10.94 | Score: 0.95453936;
Key: 18,3,320,10.94 | Score: 0.95453936;
Key: 19,3,334,12.32 | Score: 0.95439327;
Key: 19,3,332,12.32 | Score: 0.9544352;
Key: 19,3,334,12.32 | Score: 0.95439327;
Key: 19,3,335,12.32 | Score: 0.95437133;
Key: 19,3,335,12.32 | Score: 0.95437133;
Key: 19,3,335,12.32 | Score: 0.95437133;
Key: 19,3,335,12.32 | Score: 0.95437133;
Key: 18,3,327,11.63 | Score: 0.95351756;
Key: 19,3,335,12.32 | Score: 0.95437133;
Key: 19,3,334,12.32 | Score: 0.95439327;
Key: 18,3,327,11.63 | Score: 0.95351756;
Key: 18,3,327,11.63 | Score: 0.95351756;
Key: 18,3,327,11.63 | Score: 0.95351756;
7,0.9541749,0.95453936,18,3,320,10.94
Key: 18,3,320,10.94 | Score: 0.95453936;
Key: 18,3,320,10.94 | Score: 0.95453936;
Key: 19,3,332,12.32 | Score: 0.9544352;
Key: 19,3,334,12.32 | Score: 0.95439327;
Key: 19,3,334,12.32 | Score: 0.95439327;
Key: 19,3,334,12.32 | Score: 0.95439327;
Key: 19,3,335,12.32 | Score: 0.95437133;
Key: 19,3,335,12.32 | Score: 0.95437133;
Key: 18,3,327,11.63 | Score: 0.95351756;
Key: 19,3,333,12.32 | Score: 0.9544073;
